Asset ID,Device Name,Asset State,Low Signal,Category,Tags,Sources,Asset Criticality,Last Successful Scan,Last Seen,IP Addresses,MAC Address,Hostname,NetBIOS,Operating System,OS Type,Manufacturer,Risks,Risk Score
17860400-f148-0cf0-c627-000072af2000,AH-PC-000,Active,No,Desktop,,Agent,Unassigned,2026-09-01T15:12:58Z,2026-08-31T17:12:58Z,10.20.10.217,30:f6:05:04:1c:34,AH-PC-000,,"Name: Microsoft Windows 11 Enterprise, Version: 10.0.26100",windows,,1205,9.9
0c20fc00-1ed3-89af-6427-0000e7c33801,AH-PC-001,Active,No,Desktop,,Agent,Unassigned,2026-09-01T15:12:58Z,2026-09-01T19:12:58Z,10.20.10.235,30:f6:05:05:23:41,AH-PC-001,,"Name: Microsoft Windows 11 Enterprise, Version: 10.0.26100",windows,,2030,9.9
30e26e00-e1ed-1f9b-5456-000076682a00,AH-PC-003,Active,No,Desktop,,Agent,Unassigned,2026-09-02T03:12:58Z,2026-08-31T13:12:58Z,10.20.10.232,30:f6:05:06:2a:4e,AH-PC-003,,"Name: Microsoft Windows 11 Enterprise, Version: 10.0.26100",windows,,1494,9.9
dc45bc81-5420-0f41-043f-0000c68260f1,AH-PC-004,Active,No,Desktop,,Agent,Unassigned,2026-08-24T07:12:58Z,2026-09-02T07:12:58Z,10.20.10.52,30:f6:05:07:31:5b,AH-PC-004,,"Name: Microsoft Windows 11 Enterprise, Version: 10.0.26100",windows,,1683,9.9
33285c00-3c37-bb76-46de-000067e09800,AH-PC-005,Active,No,Desktop,,Agent,Unassigned,2026-08-23T12:12:58Z,2026-09-02T05:12:58Z,10.20.10.156,30:f6:05:08:38:68,AH-PC-005,,"Name: Microsoft Windows 11 Enterprise, Version: 10.0.26100",windows,,1132,9.9
2a4ec600-27de-49fb-fcdf-000095b53401,AH-PC-006,Active,No,Desktop,,Agent,Unassigned,2026-08-25T01:12:58Z,2026-08-31T15:12:58Z,10.20.10.172,30:f6:05:09:3f:75,AH-PC-006,,"Name: Microsoft Windows 11 Enterprise, Version: 10.0.26100",windows,,1206,9.9
e58c1e01-a1cd-c9ed-2f69-0000f3447e81,AH-PC-007,Active,No,Desktop,,Agent,Unassigned,2026-08-30T22:12:58Z,2026-08-30T12:12:58Z,10.20.10.42,30:f6:05:0a:46:82,AH-PC-007,,"Name: Microsoft Windows 11 Enterprise, Version: 10.0.26100",windows,,502,9.9
92357901-21a2-4bd3-5187-00008111d201,AH-PC-008,Active,No,Desktop,,Agent,Unassigned,2026-09-02T06:12:58Z,2026-09-02T01:12:58Z,10.20.10.28,30:f6:05:0b:4d:8f,AH-PC-008,,"Name: Microsoft Windows 11 Enterprise, Version: 10.0.26100",windows,,798,9.1
bdcf6001-408c-b737-b56f-00003979e000,BL-PC-009,Active,No,Desktop,,Agent,Unassigned,2026-08-25T13:12:58Z,2026-08-31T15:12:58Z,10.21.10.222,30:f6:05:0c:54:9c,BL-PC-009,,"Name: Microsoft Windows 11 Enterprise, Version: 10.0.26100",windows,,808,9.9
2a585e80-8b6b-94a8-dcb0-0000f8183801,BL-PC-010,Active,No,Desktop,,Agent,Unassigned,2026-08-28T08:12:58Z,2026-08-31T13:12:58Z,10.21.10.150,30:f6:05:0d:5b:a9,BL-PC-010,,"Name: Microsoft Windows 11 Enterprise, Version: 10.0.26100",windows,,831,9.9
